20000 100000
227 14330 167235
19075 9759 106632
5589 6375 41841
7824 2690 144792
10363 13209 169548
6927 8195 134487
6907 4724 60301
16373 140 137347
3525 11382 24050
2646 10698 168897
14764 6948 168014
8767 192 63479
4159 18743 106038
9589 3480 149187
1635 15676 104593
15249 663 100587
9721 2132 8326
16409 8383 120075
7016 17273 120460
6789 8527 189267
8939 2103 62533
9066 13171 96345
8505 566 47540
1606 9772 147671
7760 10300 111933
2113 11158 44683
2310 17717 40245
19175 3817 79207
11296 14801 152108
12292 6737 32826
3854 19349 78736
6772 9730 162228
8077 19774 88241
10920 3255 112584
7199 12588 106077
14977 591 129474
8970 1690 22426
3292 14392 96644
9790 19084 85989
14610 1676 66209
12636 15317 95059
2179 12856 64428
1396 19660 185315
16631 6903 179970
318 10842 129589
9094 11748 97498
18008 2078 82080
8440 767 99693
13477 13698 141808
10118 7637 10754
1055 6878 129842
11887 19103 14553
8333 7360 1374
5707 4426 87840
6525 10674 87576
6193 14123 60957
11351 11312 21422
8292 7129 8119
12855 6547 128443
19569 13143 174860
1768 6767 170610
2103 16163 96316
10135 13222 85195
12702 18817 34533
18181 912 6031
13546 10690 15770
10827 1709 23739
11568 18794 25263
3388 12047 155846
11896 3501 121431
17824 1724 177699
11643 10677 112107
7417 6260 163819
894 1944 169629
11509 7342 119866
19179 13050 66155
1646 9492 145513
16100 14758 196507
11546 6937 14197
14792 3627 32392
18464 9978 59192
15660 12645 136722
2871 13941 184200
366 15720 79929
13892 3425 182053
5799 19308 131700
2401 18887 23039
9303 10974 103942
6385 19803 70916
19127 10789 8750
5399 13922 121408
14019 10494 145252
13462 7018 5693
15356 8729 199887
3864 18512 35816
10262 4121 172644
18564 4680 174456
4935 10653 152586
9829 13244 157128
5438 5986 155340
7058 16616 54574
16358 17437 102814
15957 11973 62339
15700 12583 130638
12382 1295 125397
19214 7103 177630
3758 15334 177102
7158 14637 169630
8621 15745 77872
2109 2658 162771
13962 6179 45003
16322 11695 37670
855 4714 54522
4926 4680 20869
18242 12448 168970
1469 12817 61469
4537 4400 149173
14968 6767 29537
10201 8059 178918
18106 8476 121599
8355 11240 107738
19159 973 54908
11805 8013 13185
5816 4662 140445
12726 14131 147303
11892 5368 43391
5666 7271 151013
7190 4873 130204
5499 16147 186697
6543 8660 163940
9416 11919 183039
706 16166 108740
4858 16927 186605
15075 2884 80356
12641 12588 2561
376 10579 93750
6429 14938 25647
5194 9928 35836
8770 17763 74907
2261 19003 56840
15132 987 97445
12294 6149 85901
3923 8199 65246
12283 18293 26996
736 12470 12305
9931 14746 21800
15028 18805 7285
10185 3012 10164
8620 8288 167402
4524 12588 42163
10550 18786 37706
4528 70 27314
9547 14317 184141
14475 16031 10093
4989 18198 125626
9269 10857 75683
19259 5590 136398
9425 19184 56150
9996 10611 12220
12823 9525 82555
2884 9708 91613
15554 9596 109555
4100 10163 160093
18236 11096 2691
19293 4580 149215
642 18823 164406
13941 4142 183896
9181 10224 94159
11298 17810 3794
14984 2714 126210
12914 10331 33566
18865 11505 129236
1667 5351 17572
16714 17434 136725
226 6895 5033
15767 9878 36831
19560 13736 163546
4129 13050 168647
19958 13308 129413
11012 15094 192040
11193 7192 21920
12711 3967 143799
7739 16088 132517
13763 19191 50060
4651 4218 194489
17215 6229 1677
5210 1297 17318
8499 2885 87649
18915 19806 26700
4983 13977 83554
5856 14543 48491
7505 2417 147820
18736 4339 157777
14882 15042 180612
2314 4949 59165
14572 5684 6903
8972 1071 59424
4441 11402 170975
414 7926 114886
11084 2737 72454
16080 15458 25245
14516 2804 4990
18805 13237 149970
3263 18866 93295
7138 18617 168138
17029 6770 142455
19658 9029 56874
13435 7132 42897
975 14262 153136
14425 19351 178029
1206 14937 50741
10804 9811 177829
8654 17841 28851
9285 804 27639
10654 17783 147700
2461 18431 66041
3478 14898 35513
6948 3509 26919
7263 17803 102081
13843 13827 12036
12615 14319 166271
1548 8510 157166
2867 1196 154860
12252 19854 135323
18081 18331 41473
1487 15250 138083
1443 17992 157243
2815 10976 119433
16411 177 28812
12282 8671 191787
9631 1464 39877
12502 18035 59653
8277 1046 84778
11185 11982 170682
3238 10651 145075
4890 15619 152005
16317 14565 151153
16691 13875 137984
14575 19865 174043
15760 15408 145336
14259 5963 189360
3565 4021 20136
3347 4251 40385
10484 13382 189400
16429 13011 8191
1762 17914 132290
8096 86 63091
3830 2872 7590
3544 6765 166058
9516 8105 174856
10430 1649 89927
517 18995 191543
3184 16784 142594
17592 18508 49926
7729 18361 39037
10127 19936 157492
1604 18040 180361
19950 19321 18588
13104 2463 196276
17487 7921 8296
4154 250 17344
17775 6940 45094
16314 17510 62931
17440 8057 109753
13322 7786 50902
7020 13399 173251
3730 14912 175486
9767 328 186689
7344 14326 88951
9608 2608 82299
18260 5939 128249
9147 17783 150206
13146 3293 133686
5514 13455 99650
4031 2129 138597
4897 2508 77485
7587 2920 164833
17318 5397 19553
2577 7129 101981
364 6802 91133
18932 17694 118824
2326 15350 78204
8061 4285 35702
543 3715 141671
13333 7253 116657
3843 19321 45687
11661 18603 85400
4600 6284 152739
5772 2391 194884
18078 10959 78522
9195 11917 1667
15250 10739 198974
1676 17201 106134
16924 18125 192477
1480 1709 102634
10323 9295 45839
15042 14232 162364
8960 2064 2533
8707 3255 171118
18128 8182 125712
2055 12666 190454
10712 4591 71156
19999 19432 97344
17667 18905 121873
16163 2419 105374
14228 18345 189576
8384 6887 173598
19182 14841 159951
7813 8197 66675
6992 19002 122146
17236 16327 191920
6383 7786 89708
7310 8114 62542
4760 19752 28303
15375 2408 177479
16652 8374 92224
6216 18930 149481
13001 2137 13964
16620 11847 198266
1433 16084 173716
14032 18714 97103
5420 4330 56651
19760 10040 51301
15476 13434 149687
10579 19451 29100
12542 1141 34522
1364 15456 56135
9068 13241 96177
7829 76 151354
1442 13879 83244
19405 3618 18752
13331 6924 38109
16846 4370 173580
10738 11973 45688
4913 5878 157612
5769 334 197147
6770 5622 113795
16862 10369 161669
15729 2118 14632
14693 15544 138539
461 8421 47187
16560 10780 61008
11325 2352 163815
1269 8317 155357
16946 2755 199801
16669 19659 105613
4392 15303 33592
16376 10342 55789
2060 13058 5060
7216 8967 95249
10234 1729 111519
14173 8989 117363
16512 2720 38085
19749 11437 176857
16619 2893 89749
1865 3369 152448
17737 3652 109085
2457 4792 10860
3507 17572 95974
1841 8282 129421
4735 12353 84265
1629 16687 83811
12473 2625 6255
14947 4148 159380
12656 9532 107604
10998 4438 29970
9347 4942 128121
18826 13321 137610
10285 7384 136386
7068 13022 583
590 3706 191741
13579 10600 25196
6352 828 137756
3077 13272 146999
11338 1889 194685
7104 4758 20669
18630 5359 98949
761 15555 107841
7397 6929 20228
16855 14460 88282
7801 13530 127520
16399 12335 95315
15826 18980 8323
16173 11096 89516
1484 17778 19331
3188 14595 51121
16929 10600 121936
5786 1973 140100
4379 13072 71109
5308 4075 107996
11715 16468 59779
13044 19481 194253
5978 5015 10920
17894 18331 131799
4665 11173 178103
15709 334 198819
11971 10477 78955
10067 11681 101006
4833 6183 148579
15041 3275 161928
2995 9169 38774
13059 7901 18392
987 6198 166236
10606 1495 34303
1523 12152 159082
11137 8289 55972
7895 7660 188720
8805 13312 19385
12291 19097 94349
2537 14068 173496
5632 3524 15080
5622 12024 25524
12844 7094 11032
6984 2378 155484
11965 4508 178274
18600 2263 76715
334 16739 69797
1358 17426 6302
6959 2098 102929
2486 8985 2800
17028 9835 23616
3275 577 22456
620 3157 103578
4006 14897 25439
7473 16201 102417
8649 9054 141268
2218 12466 151573
18180 16394 58867
13993 18930 40491
551 13386 18488
4349 18891 92902
17719 19122 163523
2719 18091 46204
3183 18922 50949
1004 8956 135166
3692 12014 48015
998 14547 26010
11707 12659 33506
14751 16813 122106
16576 19970 198715
15867 230 71662
13033 1426 72254
16127 14176 103199
7776 14001 197414
14725 11113 111240
3780 214 179066
15810 18615 199095
19504 8985 117981
2556 7607 88839
12590 16038 27502
623 4023 61908
12193 17551 141296
12024 9560 167787
12945 2166 33611
6737 13810 131623
3572 8819 54317
12937 11019 110017
4296 8600 99558
16609 10224 29764
19122 497 166835
16303 5567 171634
11194 16912 186973
17595 13270 3710
11669 4557 110118
18511 11035 2416
14379 13816 120026
10525 8582 53793
5198 2608 80201
9770 10670 123974
19055 13979 109501
2615 6105 155097
19661 14253 152625
9701 15313 103236
222 6179 74398
5101 6179 156325
8841 1943 148957
3393 1929 47564
16487 7167 104825
1306 13198 188480
15334 16503 85676
15509 11052 172996
3690 11814 59819
11567 4011 165654
18678 12529 49775
12066 8829 9440
15188 6830 29921
9818 4920 144550
12122 4341 36645
13242 19481 163603
10202 18858 164121
16597 8831 55169
361 4394 175244
10690 10721 185498
4945 8601 179720
2189 17877 191462
19441 4645 195932
373 13125 114414
17204 3141 164706
15315 6163 10305
4313 1121 66328
7712 1974 4556
13895 7916 191489
11522 9188 42439
11973 13990 165062
16602 4462 3114
3455 2492 166950
16798 14746 143479
3773 18336 189829
18264 18880 85376
18743 4461 67427
3071 14637 31416
9560 1258 166341
5434 17232 106809
723 10254 192098
2760 13234 19986
9730 14482 33625
12372 16809 48061
7089 3328 128519
7689 14490 174739
4644 5060 82993
5350 12704 76708
6297 14047 67832
9274 12019 196551
5785 19633 52525
11271 15384 114177
3284 3353 9413
1711 7163 38172
12976 12074 106579
4034 13339 168337
7917 6676 100203
4673 13996 112856
7944 15420 33705
16838 16511 199815
8876 3227 135099
8829 7135 31169
16747 18138 70373
15497 15817 66749
6037 4647 70880
8902 19069 89488
9073 2735 169033
7861 19467 152449
19461 15637 172230
912 12678 161306
17966 12175 183316
5421 19321 72065
11305 10714 199071
3441 5944 143428
7046 3906 22172
3243 19106 135709
5863 14828 182791
18544 14477 74601
12582 7452 8383
1258 7920 136400
4465 8178 105424
19524 11042 141779
16659 16031 109632
14298 10986 26562
12518 14747 44193
1447 2045 185882
11217 19785 171190
5436 15919 147573
2647 8504 66047
250 19266 118181
5359 3806 179431
5530 11205 72083
3810 7562 42294
14828 15109 118403
19677 8105 60156
3532 15343 108312
10674 12074 117593
13835 17425 1261
10624 13823 125270
14115 6553 139049
16791 13683 138797
12979 4742 65635
18285 16369 135686
6453 26 19193
6549 4789 165485
19528 16465 78825
15298 10341 3745
16348 7210 127516
16760 6471 130479
16687 13597 179493
11819 19064 149882
737 2550 189042
12074 16976 155437
9384 16739 122080
9649 4534 35249
16352 6041 71481
19093 19403 139750
16191 19631 193245
5741 14232 12785
5766 44 23864
2353 13489 34411
12980 5048 88865
7164 13171 132479
5821 1915 33484
19378 8128 85822
19403 19291 149321
13521 1832 123638
5332 12195 173913
12570 6044 177437
11246 6209 172809
15664 5649 180631
2142 6156 183254
2230 6093 162533
15382 9204 61776
7490 15779 179013
9231 2503 93565
2568 4102 170522
11952 5121 193533
5808 3394 133718
2508 8289 71254
9938 15917 182603
16604 11637 136132
7680 3274 187085
11174 5294 90791
16599 17997 188955
15667 140 62378
10883 15267 66925
14194 16327 104323
1256 390 180258
10723 497 176866
1508 9618 82096
4694 10923 30516
12316 2723 156859
15598 3693 86538
13693 12510 137948
2144 4206 182670
3380 19308 132512
2973 4688 75150
5773 10727 48958
7276 13220 195801
12645 1331 47479
11977 17857 108961
17560 17744 160953
16870 4227 87075
3679 4775 124921
11365 18955 66523
6366 11917 22398
18579 763 54760
12266 780 185008
5960 971 117562
19404 6875 119591
16992 12748 139431
19990 7059 20198
19346 4394 5632
11473 3516 81510
10336 13308 68427
6369 8285 93733
6794 8125 28462
18839 4966 87135
16523 1529 89914
13811 18519 137249
15585 15120 189923
12788 9075 191518
11673 3760 10502
11327 2920 187578
2288 2778 199388
15238 4540 72619
14737 12954 31413
16800 7035 187110
8655 3327 149456
16510 3518 10818
15557 2116 158967
9777 12179 25909
14534 3285 46064
49 6204 23015
17482 15589 52396
1140 14902 21877
10238 19888 82945
16188 5428 36510
2143 3753 67095
18338 3722 196220
9672 5734 37598
2603 13317 9855
5418 6797 129388
1885 6533 60812
16950 15918 33942
19356 19874 33328
8759 18882 34233
19723 5860 152408
5609 8889 181991
12528 14302 153396
10224 3633 154300
685 10898 2733
6739 18960 29
18226 11099 99817
4647 11402 130313
3425 10821 197877
12515 18356 187346
13678 7520 139288
16976 18547 77342
16386 4072 155103
11604 4413 186314
5919 4976 184429
17636 9396 176013
19765 14696 178401
14489 10441 22194
16445 17174 179470
6338 18981 31373
10586 166 60837
4708 393 99198
14983 6171 6863
9309 6596 152294
7205 15603 163721
8600 9874 61669
9248 7427 59915
1983 136 58751
14342 18573 52937
6284 6732 96898
16038 5894 193495
2625 14326 72846
2199 15406 105280
2449 8128 83281
14154 5986 171544
7415 8087 96420
17905 11725 91220
11113 17480 88012
1025 17751 78716
2274 3906 68698
12633 16067 47033
11845 13111 94312
15875 14906 170382
1395 7121 103012
19934 17201 26068
3328 421 7735
10642 13990 94891
4021 10849 19704
12397 13990 89224
19797 6850 60708
10959 18823 26841
2132 19588 112995
3086 3657 37589
5084 17203 2766
13530 6162 150910
1117 12216 60592
406 11767 166309
14068 17997 72394
19975 11631 20022
13695 16267 198078
14240 1394 107497
7121 14318 161728
16187 10306 105798
16739 1119 67686
2868 10009 12457
5430 12532 3817
18 2953 104950
18790 1531 32334
10933 3218 48674
6756 6579 78635
2771 3353 199427
18357 14795 171157
10339 12119 195343
11402 2800 78043
11919 12195 10361
1485 1286 37474
9873 13568 23187
14514 15140 65557
3898 15473 43815
3325 5392 171347
6692 2553 173493
2847 5930 190721
3343 18214 73141
13749 9810 91400
9106 4440 120210
3724 16561 175852
4400 18231 147672
4986 14317 73170
17001 308 67418
1284 10630 185481
13876 7438 31085
18985 18547 9540
4406 1943 39033
1357 11313 4940
18395 3410 75371
15858 13640 48412
18616 14411 71647
13708 3218 33707
6210 15733 141370
5529 4485 66646
6033 628 164961
19803 19371 145080
16468 168 29994
18293 18496 126485
12946 8901 142726
5507 18281 174374
4798 2350 13063
8706 5709 42294
5587 7146 93415
1339 18334 139998
10765 3748 122319
15776 19878 137532
3638 6581 139574
4912 18942 93509
3633 9478 50317
9294 2640 52122
15384 6302 43559
14970 5642 22550
14867 7055 27399
1384 2910 88424
2956 8984 18805
13585 2356 31391
7452 1858 178971
15392 2764 177517
13627 8108 42052
12512 8195 34082
7193 7170 114289
7412 725 128909
5805 16878 49773
5768 9451 82513
12281 12492 10194
12335 322 161880
3501 4675 142303
5033 2756 143470
5536 18756 107293
9832 10180 147447
12356 15017 56680
2463 9391 111813
9769 9941 126625
10721 14525 11004
6071 2885 145564
10351 12757 45391
11096 1575 83022
15840 18830 49996
13483 16869 179925
1829 14746 153133
4110 15523 62798
1003 9580 107380
12095 17431 41697
8060 11056 191623
5787 1015 12153
5716 6142 137677
10529 6877 199042
11224 7470 187527
16096 923 20205
1119 10380 94293
17101 10331 15447
12371 14123 129406
1638 1407 180932
14803 19370 82645
13415 13259 186592
7220 14906 195161
4560 13481 195687
17020 19922 151408
14997 18645 65319
11598 19433 168328
3882 18930 34312
9417 19916 120663
14336 5455 142147
2066 3278 111413
351 9999 199029
7736 15267 194894
6571 12989 112702
17937 9280 41509
2447 13237 198416
17267 10193 53986
16486 17999 28447
8177 15363 67573
12143 15130 739
11457 313 51186
1398 14340 180171
2298 15521 149306
3430 3644 96280
3265 19367 39454
3834 18970 175820
3460 9718 171966
15202 2181 86287
10882 3646 19417
9234 17205 134652
2190 3373 73051
12709 3484 80080
3706 5540 6671
5739 19664 181316
10130 12824 106495
13405 833 64167
6621 14057 168571
12600 5915 114501
4360 17987 143748
11375 147 101143
16593 5339 75088
17742 3914 102625
8 971 169713
2965 9478 52975
12602 13301 173065
10429 15439 27866
1894 3817 59610
4039 4016 112833
6293 5988 143256
12824 12629 178976
6144 4395 147736
19955 3118 40313
6949 9517 61616
1663 5362 55153
11175 3156 131373
489 2098 28754
12107 18606 112119
1954 15231 84833
2827 6233 34879
12195 15376 155628
7337 18929 196051
541 11158 188225
12394 6514 132727
8001 16165 89473
10837 10942 161368
8576 2591 131109
12833 10136 180094
6043 6222 87166
13798 17726 52052
13497 7192 12102
5835 3906 115356
12099 14877 167734
7085 4029 158079
18035 1992 143182
13217 9304 25078
14759 5779 163130
11058 2007 181514
18850 8294 142331
4273 14669 44779
4504 16733 80781
15097 13011 34507
396 8141 104867
17203 15167 75090
3646 10828 194236
17455 11946 188298
3468 16732 8799
1331 15053 110618
12704 3223 119058
17319 19743 126963
2820 9280 65163
3617 4572 46086
12530 15661 155056
6548 1746 171809
7170 3074 49585
19446 5074 14668
16440 9759 98051
2665 11093 109515
10583 19173 54478
14326 15183 185746
6830 5956 164055
8091 1165 51095
11734 11975 109557
8394 1672 10701
19033 2116 182929
11600 9230 93568
8834 13339 97432
12510 8729 145471
15330 7325 55555
12005 6070 124844
11244 9424 57197
500 7811 14867
13512 4435 96992
2523 18964 121174
5076 14201 188790
2607 11820 81759
2125 2350 112855
8685 10006 39901
9563 11820 31585
18028 2903 129150
3012 847 26691
14477 16812 119663
5981 8405 147735
17293 18281 13008
19549 6582 116360
17327 8130 47646
9660 904 25753
15550 5392 156632
9090 18651 136066
17389 4755 100294
18375 19308 152076
6122 12047 177528
1347 15267 120543
6375 6538 5088
14914 6436 112990
18955 14906 169620
1496 13947 34453
7163 3777 64174
2502 11728 194505
7655 18981 177609
17993 673 156661
4840 14761 74059
12712 3918 79293
16511 14395 35728
12849 487 63782
7256 10384 84886
12695 1454 137251
17543 3797 72892
1402 9046 37366
1073 12754 173187
4271 19758 28036
2639 4011 9621
7911 13778 94355
3395 15987 191239
140 16749 80145
16185 4440 127448
16466 12771 107680
14738 1947 76518
18910 12718 43140
15799 2838 70037
13189 8347 86058
16689 18726 138147
1801 4927 179435
4927 12011 43243
13148 4294 124865
18288 15480 8523
15920 1107 144590
5022 13402 41131
256 10719 86124
1861 15998 126374
14592 6795 19182
13893 218 3086
14143 11372 33533
11253 19642 116163
6721 9359 59574
2732 7129 163997
1520 1200 35659
16755 18757 18983
14571 18840 21687
1499 15381 69605
19412 15471 119942
2126 10898 12890
7948 15533 136723
17972 13562 100443
